"DATA";"SISTEMA";"TOTAL_PAX_TRANSPORTADO"
2015-01-01;"BRT";215051
2015-01-02;"BRT";460185
2015-01-03;"BRT";369570
2015-01-04;"BRT";245346
2015-01-05;"BRT";567148
2015-01-06;"BRT";596175
2015-01-07;"BRT";621842
2015-01-08;"BRT";615367
2015-01-09;"BRT";626221
2015-01-10;"BRT";449583
2015-01-11;"BRT";325257
2015-01-12;"BRT";619012
2015-01-13;"BRT";619612
2015-01-14;"BRT";615816
2015-01-15;"BRT";623356
2015-01-16;"BRT";612518
2015-01-17;"BRT";423177
2015-01-18;"BRT";292651
2015-01-19;"BRT";587155
2015-01-20;"BRT";374490
2015-01-21;"BRT";610099
2015-01-22;"BRT";594834
2015-01-23;"BRT";600767
2015-01-24;"BRT";384022
2015-01-25;"BRT";250874
2015-01-26;"BRT";598840
2015-01-27;"BRT";611568
2015-01-28;"BRT";601001
2015-01-29;"BRT";583504
2015-01-30;"BRT";591322
2015-01-31;"BRT";362103
2015-02-01;"BRT";250140
2015-02-02;"BRT";589106
2015-02-03;"BRT";641294
2015-02-04;"BRT";644369
2015-02-05;"BRT";642588
2015-02-06;"BRT";664592
2015-02-07;"BRT";450015
2015-02-08;"BRT";274138
2015-02-09;"BRT";749743
2015-02-10;"BRT";763816
2015-02-11;"BRT";824063
2015-02-12;"BRT";732983
2015-02-13;"BRT";694284
2015-02-14;"BRT";417604
2015-02-15;"BRT";267894
2015-02-16;"BRT";306930
2015-02-17;"BRT";263028
2015-02-18;"BRT";392325
2015-02-19;"BRT";655884
2015-02-20;"BRT";686163
2015-02-21;"BRT";476383
2015-02-22;"BRT";309779
2015-02-23;"BRT";740562
2015-02-24;"BRT";760924
2015-02-25;"BRT";756461
2015-02-26;"BRT";753892
2015-02-27;"BRT";751590
2015-02-28;"BRT";457063
2015-03-01;"BRT";256435
2015-03-02;"BRT";670865
2015-03-03;"BRT";700791
2015-03-04;"BRT";711610
2015-03-05;"BRT";714110
2015-03-06;"BRT";725735
2015-03-07;"BRT";440775
2015-03-08;"BRT";261493
2015-03-09;"BRT";683331
2015-03-10;"BRT";709534
2015-03-11;"BRT";713237
2015-03-12;"BRT";717564
2015-03-13;"BRT";720888
2015-03-14;"BRT";436907
2015-03-15;"BRT";261367
2015-03-16;"BRT";697182
2015-03-17;"BRT";693216
2015-03-18;"BRT";702132
2015-03-19;"BRT";703756
2015-03-20;"BRT";704770
2015-03-21;"BRT";418916
2015-03-22;"BRT";235371
2015-03-23;"BRT";646482
2015-03-24;"BRT";678993
2015-03-25;"BRT";682499
2015-03-26;"BRT";673147
2015-03-27;"BRT";703468
2015-03-28;"BRT";419849
2015-03-29;"BRT";241197
2015-03-30;"BRT";665259
2015-03-31;"BRT";679163
2015-04-01;"BRT";755600
2015-04-02;"BRT";664257
2015-04-03;"BRT";303909
2015-04-04;"BRT";414297
2015-04-05;"BRT";270603
2015-04-06;"BRT";715738
2015-04-07;"BRT";713207
2015-04-08;"BRT";752515
2015-04-09;"BRT";749371
2015-04-10;"BRT";747854
2015-04-11;"BRT";469865
2015-04-12;"BRT";273186
2015-04-13;"BRT";725674
2015-04-14;"BRT";740710
2015-04-15;"BRT";741856
2015-04-16;"BRT";732805
2015-04-17;"BRT";741367
2015-04-18;"BRT";454510
2015-04-19;"BRT";257837
2015-04-20;"BRT";653427
2015-04-21;"BRT";319373
2015-04-22;"BRT";664974
2015-04-23;"BRT";346262
2015-04-24;"BRT";662593
