"DATA";"SISTEMA";"TOTAL_PAX_TRANSPORTADO"
2015-01-01;"SPPO";1151943
2015-01-02;"SPPO";2388332
2015-01-03;"SPPO";1914031
2015-01-04;"SPPO";1370014
2015-01-05;"SPPO";3123524
2015-01-06;"SPPO";3217833
2015-01-07;"SPPO";3294170
2015-01-08;"SPPO";3245880
2015-01-09;"SPPO";3296836
2015-01-10;"SPPO";2219243
2015-01-11;"SPPO";1561212
2015-01-12;"SPPO";3212332
2015-01-13;"SPPO";3241401
2015-01-14;"SPPO";3182879
2015-01-15;"SPPO";3216488
2015-01-16;"SPPO";3217063
2015-01-17;"SPPO";2153752
2015-01-18;"SPPO";1494813
2015-01-19;"SPPO";2953963
2015-01-20;"SPPO";1727462
2015-01-21;"SPPO";3204527
2015-01-22;"SPPO";3105754
2015-01-23;"SPPO";3185240
2015-01-24;"SPPO";2084121
2015-01-25;"SPPO";1416503
2015-01-26;"SPPO";3155461
2015-01-27;"SPPO";3207927
2015-01-28;"SPPO";3207725
2015-01-29;"SPPO";3203017
2015-01-30;"SPPO";3271524
2015-01-31;"SPPO";2160149
2015-02-01;"SPPO";1413442
2015-02-02;"SPPO";3312519
2015-02-03;"SPPO";3489337
2015-02-04;"SPPO";3552295
2015-02-05;"SPPO";3506062
2015-02-06;"SPPO";3556647
2015-02-07;"SPPO";2360413
2015-02-08;"SPPO";1564108
2015-02-09;"SPPO";3614613
2015-02-10;"SPPO";3653925
2015-02-11;"SPPO";3610965
2015-02-12;"SPPO";3512126
2015-02-13;"SPPO";3096814
2015-02-14;"SPPO";1949693
2015-02-15;"SPPO";1345140
2015-02-16;"SPPO";1500436
2015-02-17;"SPPO";1292598
2015-02-18;"SPPO";1822594
2015-02-19;"SPPO";3024922
2015-02-20;"SPPO";3138748
2015-02-21;"SPPO";2114339
2015-02-22;"SPPO";1498614
2015-02-23;"SPPO";3590358
2015-02-24;"SPPO";3612096
2015-02-25;"SPPO";3654416
2015-02-26;"SPPO";3630765
